n_ben_age_0_64,n_ben_age_75_84,n_ben_male,n_ben_race_white,n_ben_race_asian,n_ben_race_hisp,readm_rate_1000,prov_rate_1000,p_em_total,p_em_pcp_vis,p_em_sp_vis,p_nurse_vis,aco1,aco2,aco7,aco36,aco37,aco38,per_capita_exp_total_py,py
1416,3268,4924,9639,20,10,137.5383268,800.7008322,10759.52973,4333.010121,4672.625902,1736.622023,0,0,0,0,0,0,8628,2014
2334,3439,5321,10535,39,21,170.3843053,814.8347219,10664.03167,5032.226409,3977.566221,1641.563823,0,0,0,0,0,0,10236,2014
1068,1696,3047,6467,18,14,174.1440378,822.3140496,9930.192948,3504.639398,5019.243969,1394.107329,0,0,0,0,0,0,11524,2014
1942,2431,3887,5589,473,1499,211.2831858,744.4690266,11604.09195,5117.408431,5851.137633,623.4346522,0,0,0,0,0,0,18199,2014
1947,3054,5413,10490,32,14,148.4405843,781.6818002,9537.386365,3333.407582,4178.725063,2018.821957,0,0,0,0,0,0,7913,2014
2999,6651,9397,18549,526,1121,181.397929,836.908284,11731.0451,5223.332132,6132.075678,369.4800162,0,0,0,0,0,0,10558,2014
4169,7279,10885,22783,100,54,169.9112511,749.9284283,9069.913653,3482.551431,4192.710199,1242.648522,0,0,0,0,0,0,9526,2014
7477,7119,12968,26854,114,34,169.0734055,773.5258724,9190.712909,4280.580327,3867.765439,1036.533776,0,0,0,0,0,0,9218,2014
7820,8525,14388,30521,48,37,163.3632894,789.7328573,7850.391465,3485.132449,2562.784471,1711.151677,0,0,0,0,0,0,9491,2014
2169,1643,3141,5594,71,283,233.6517267,767.817781,11307.7608,3785.874559,4691.099476,1301.278627,0,0,0,0,0,0,13033,2014
3248,6029,9216,17166,580,1046,164.0956421,717.3158504,9360.020661,3813.486101,5068.275733,469.9004508,0,0,0,0,0,0,10603,2014
1299,1850,3034,6161,36,84,202.4623803,811.6735066,11233.79433,4407.213864,6217.436745,541.3314537,0,0,0,0,0,0,10652,2014
2075,2528,4159,8075,108,24,176.5906771,733.2425995,10596.34687,3663.096294,4610.817521,1391.416918,0,0,0,0,0,0,10206,2014
1145,1180,1968,4563,15,15,127.9669763,799.7936017,9226.386227,5117.352233,3463.904472,633.3116438,0,0,0,0,0,0,8036,2014
870,1424,2138,4920,11,2,153.955809,796.1511048,8479.198165,5207.508706,2808.9357,450.3185254,0,0,0,0,0,0,8755,2014
3726,3543,5782,13109,28,19,166.7176507,780.9727746,8225.581262,3555.544222,3183.434593,1117.55293,0,0,0,0,0,0,8864,2014
4228,2253,4960,6805,353,607,234.0425532,758.3586626,9978.976918,4566.625078,3594.011229,1217.217717,0,0,0,0,0,0,15574,2014
1675,2367,4454,6782,76,29,157.5396825,748.4126984,11016.25957,5417.812942,4968.02526,611.2583022,0,0,0,0,0,0,10363,2014
1170,1475,2372,4538,102,10,176.7857143,715.4761905,9202.40518,3811.655874,4256.059204,1077.150786,0,0,0,0,0,0,9368,2014
1245,1691,2858,6139,11,6,143.7956204,798.540146,7922.178776,276.6126166,2546.115775,522.7092505,0,0,0,0,0,0,8804,2014
3516,3541,5886,12359,195,123,215.8054711,792.2998987,10020.36601,5008.159652,4302.804391,699.1406772,0,0,0,0,0,0,10866,2014
1136,1575,2638,4860,90,28,193.2819383,798.4581498,11240.16245,4655.178091,5894.462434,687.0643763,0,0,0,0,0,0,9915,2014
3749,4890,8458,15483,168,37,165.1299246,777.8709137,11358.27737,5239.374377,5009.678957,1079.277328,0,0,0,0,0,0,9386,2014
6519,9934,16870,32157,289,219,162.8678911,726.709449,9379.045825,2958.858758,5396.729695,1015.678622,0,0,0,0,0,0,9168,2014
765,1540,2359,5090,3,0,119.0667739,814.159292,8366.300609,4108.031225,3509.857105,726.5811061,0,0,0,0,0,0,10136,2014
1829,3453,5164,10753,37,32,163.473424,819.2212608,10296.24562,4459.216933,5114.401835,709.91107,0,0,0,0,0,0,10870,2014
2086,3461,5279,11433,95,188,168.1296421,819.7164078,12429.08204,4435.77612,7155.306709,808.5783352,0,0,0,0,0,0,9969,2014
1902,2106,3871,6259,32,17,161.1267606,783.0985916,9652.727776,5125.450014,3601.956983,890.7350995,0,0,0,0,0,0,8065,2014
1051,1580,2689,5434,20,8,141.8234443,750.3617945,9727.992746,4166.565126,4982.501877,548.3217388,0,0,0,0,0,0,8749,2014
1771,4252,6346,13514,83,94,162.1923937,857.9418345,9874.863617,2859.110988,6362.24559,641.9004594,0,0,0,0,0,0,8932,2014
562,1606,2206,4532,16,3,141.1992263,753.384913,8480.542912,3143.060498,4551.717289,777.6214516,0,0,0,0,0,0,7872,2014
2686,4846,7424,14979,142,100,178.4841076,796.4547677,12705.07307,5415.105596,6179.754414,1097.513527,0,0,0,0,0,0,10926,2014
1460,2281,3826,8047,41,25,171.6971796,769.4210787,8346.734549,4452.927415,2308.581793,1191.577949,0,0,0,0,0,0,9853,2014
991,2810,3800,9081,18,5,136.6583541,853.8653367,10069.34964,3717.031617,5053.677715,1295.036313,0,0,0,0,0,0,9464,2014
818,1841,2235,5169,41,96,141.2671233,761.130137,10279.85247,4939.690314,5073.001747,238.1329232,0,0,0,0,0,0,9838,2014
2210,4323,6559,12841,313,330,164.4008852,817.262093,11921.64006,4131.483076,7624.163741,163.608664,0,0,0,0,0,0,10253,2014
2127,3929,5718,12935,20,29,170.4745167,804.3350908,8963.716792,3575.391854,3883.070393,1473.880692,0,0,0,0,0,0,9674,2014
2394,6137,9363,19752,706,304,135.7415302,799.8653803,9866.937117,3877.222792,5695.857348,288.0897329,0,0,0,0,0,0,10797,2014
5256,11081,16606,32419,1539,1215,176.4122894,732.4083251,10094.57237,3887.077398,5206.184833,992.8968176,0,0,0,0,0,0,10802,2014
2125,1602,3137,6411,12,110,174.0467405,805.6580566,8901.723288,3721.239553,2947.163466,2227.554904,0,0,0,0,0,0,8759,2014
2782,4680,7141,15363,97,70,154.5706371,796.6759003,10058.28403,4216.166724,4544.018231,1288.576675,0,0,0,0,0,0,7954,2014
7396,9108,15210,28636,238,142,172.3985891,761.2433862,9526.91083,3880.275347,4684.377604,939.800475,0,0,0,0,0,0,8773,2014
2687,5139,7764,16316,183,163,149.9353727,811.0728134,10693.30703,3917.522335,5999.416432,769.4765947,0,0,0,0,0,0,10192,2014
2531,3558,5582,9704,160,362,152.1266687,722.1359826,9556.342776,4231.132249,4619.163776,698.5450044,0,0,0,0,0,0,10954,2014
2810,5272,7871,17089,72,135,157.0192947,784.2093591,8200.923344,3601.715451,3471.566169,951.6533477,0,0,0,0,0,0,8509,2014
2042,4814,7138,15126,63,117,122.4256293,750.5720824,8281.77112,3839.233396,3310.871241,1119.37438,0,0,0,0,0,0,9889,2014
1349,3551,4851,10392,124,271,141.3333333,819.7333333,10712.31161,3417.692982,6643.17622,639.919843,0,0,0,0,0,0,8444,2014
3572,2147,4662,9493,526,431,203.9390089,797.3316391,9523.464396,3479.552849,4335.378968,1061.345392,0,0,0,0,0,0,10483,2014
6322,11305,16596,35905,139,44,163.5648197,702.9671382,8267.585841,2774.59658,4366.332441,648.7340639,0,0,0,0,0,0,8284,2014
1045,1750,2511,5504,57,108,168.8741722,859.2715232,10905.08038,4553.426749,4530.350805,1812.140322,0,0,0,0,0,0,11939,2014
1419,4676,6502,10829,1346,334,173.0213749,795.2050838,12364.22413,4437.341672,7030.287357,893.3506527,0,0,0,0,0,0,11840,2014
1781,1977,3347,5805,111,434,202.3668639,797.2386588,9380.451829,4292.925868,4278.048574,665.2820752,0,0,0,0,0,0,11497,2014
1633,2715,5284,11159,83,65,131.9473908,772.1680102,9838.35545,3521.875181,5432.578084,874.4277684,0,0,0,0,0,0,8546,2014
13910,16566,28676,57260,212,226,180.6729306,773.8176474,8747.527183,3550.080953,4203.12024,970.17187,0,0,0,0,0,0,9518,2014
1233,1396,2180,4859,23,7,172.6151849,794.9383517,10596.312,5765.336875,3675.333299,1132.96215,0,0,0,0,0,0,9643,2014
6050,9176,13665,24428,660,1941,192.2444956,751.7800416,10525.89674,3311.140225,6914.921923,288.9386865,0,0,0,0,0,0,11624,2014
3055,8765,12288,26216,241,146,127.7478225,827.4574865,11714.79547,3638.856724,7919.724933,154.0161165,0,0,0,0,0,0,9165,2014
3443,5034,7799,17895,29,17,182.5050369,741.6051041,7985.230747,3555.062429,3225.571802,943.4459136,0,0,0,0,0,0,10046,2014
775,1631,2544,4770,131,307,142.081448,835.2941177,9682.829803,4168.215399,4672.677285,279.0483358,0,0,0,0,0,0,9992,2014
2768,3158,5540,12430,11,11,194.2643392,779.5511222,9953.865997,4833.154572,3490.272215,1609.503768,0,0,0,0,0,0,10195,2014
11032,9342,17457,34796,226,187,192.628419,754.3362242,8561.453611,3204.52899,4166.956098,972.5568591,0,0,0,0,0,0,10553,2014
8058,14763,21772,49397,299,184,147.9242882,752.1870527,8877.904718,3503.431759,3220.603001,1215.513805,0,0,0,0,0,0,8614,2014
960,938,1659,2671,88,340,191.6508539,777.0398482,10162.18857,3610.07239,5503.042146,1022.427499,0,0,0,0,0,0,9128,2014
4506,4518,8145,17716,113,108,171.5244286,756.3430489,8493.158011,3380.643258,3873.598407,1185.02877,0,0,0,0,0,0,8705,2014
2871,4912,8198,18445,48,47,158.3411876,743.8737041,7625.520273,3298.232983,3661.355568,662.3139953,0,0,0,0,0,0,8308,2014
673,2225,2771,5895,31,344,169.5774648,805.6338028,14206.49073,5413.378021,8119.683267,666.3681834,0,0,0,0,0,0,12037,2014
6056,4681,8871,19675,34,13,203.7718491,758.3563324,9310.309603,4097.741609,3380.538507,1759.093579,0,0,0,0,0,0,9181,2014
3058,3652,6741,12080,139,932,170.8479679,740.8429503,10375.57998,4072.531514,5152.550188,1134.451893,0,0,0,0,0,0,11223,2014
3551,4138,7508,15291,48,108,151.8800688,784.9594495,7987.971302,3441.734086,3830.132804,707.0065639,0,0,0,0,0,0,8496,2014
2100,3472,5127,8915,157,310,194.4625407,747.2312704,10315.43606,3563.723358,6339.76729,408.6015659,0,0,0,0,0,0,11738,2014
1570,2812,4378,10099,37,98,159.0501792,801.9713262,9673.432751,4062.138797,4850.038581,753.4132246,0,0,0,0,0,0,8654,2014
874,2045,3576,6672,266,19,153.6074476,739.3328161,9009.02761,3007.446131,4980.604916,1014.123487,0,0,0,0,0,0,7713,2014
2574,5202,7732,13163,1467,405,218.1208054,828.7192394,13388.26494,6546.417174,5219.803223,1604.866977,0,0,0,0,0,0,15345,2014
8178,12492,19063,38305,219,78,183.5895875,793.4236566,9425.657702,3989.523811,4413.439838,1018.437868,0,0,0,0,0,0,9965,2014
1535,3168,4667,9976,76,14,156.0897436,780.1282051,9781.971415,3639.954136,4757.42549,1381.086272,0,0,0,0,0,0,11708,2014
1704,2316,3755,8119,84,155,190.4243743,828.0739935,14367.63137,5743.787498,5733.452086,2884.049602,0,0,0,0,0,0,13657,2014
1217,2123,3298,7380,35,4,128.2778172,798.724309,9174.010489,4894.078623,2932.359138,1329.822045,0,0,0,0,0,0,7999,2014
2169,1473,3055,6504,9,7,144.61738,830.7392996,7868.275036,281.0098227,2278.975759,635.5549262,0,0,0,0,0,0,8070,2014
2009,3793,5306,11969,75,30,163.94081,802.5700935,9773.314396,4271.920892,4200.128631,1291.456748,0,0,0,0,0,0,7532,2014
6016,2376,6492,9844,86,3187,162.1279291,684.2938569,7702.515891,283.6368689,2969.538387,307.1169721,0,0,0,0,0,0,8475,2014
10410,13385,21392,48015,206,60,148.4382372,780.8813815,8649.125637,3402.67538,3600.285124,1322.622101,0,0,0,0,0,0,8742,2014
13426,22024,34410,76470,303,217,169.3249786,787.429982,8508.782605,2854.368498,3571.47409,1178.939651,0,0,0,0,0,0,9012,2014
26777,30754,53308,107669,1184,452,175.2959308,770.8627078,8093.935043,3575.055087,3594.460248,778.7291307,0,0,0,0,0,0,9066,2014
989,1213,1832,2589,34,17,161.4035088,731.5789474,11976.03743,5633.25853,5704.918033,622.1140314,0,0,0,0,0,0,10512,2014
5746,11352,16269,33119,480,981,190.8038786,799.7341257,10283.97748,4482.701812,4788.096098,1005.699989,0,0,0,0,0,0,12071,2014
5370,7405,11579,18888,855,1012,227.0702571,823.2435716,14195.39596,6884.192122,6499.104115,783.8653878,0,0,0,0,0,0,15065,2014
1587,1825,3722,7113,108,285,161.8798956,787.9895561,10196.94567,4372.444296,4900.692648,913.5441876,0,0,0,0,0,0,9400,2014
1638,2302,3200,7765,45,130,174.7741487,792.9117443,8576.605849,4073.981505,3643.589103,849.4126468,0,0,0,0,0,0,10598,2014
1602,2008,3367,5279,1071,243,189.2130858,797.0822281,10987.63487,6242.712793,3005.583148,923.719815,0,0,0,0,0,0,12203,2014
1429,1755,3156,5333,403,328,201.7045455,717.6136364,10302.03943,4943.748709,4674.38386,670.642681,0,0,0,0,0,0,11628,2014
2010,2919,4525,8053,43,13,166.7805878,781.6131237,8430.921988,3684.170887,4439.46788,301.6576878,0,0,0,0,0,0,8614,2014
2163,3051,4729,10390,96,211,167.1861717,862.0005667,10811.03037,4745.407772,4288.576973,1769.01205,0,0,0,0,0,0,12061,2014
1910,801,1945,873,5,5,220.4724409,696.5879265,8761.044177,1678.045515,2466.755913,991.7447568,0,0,0,0,0,0,13045,2014
2022,3387,5855,8945,208,21,163.6182241,786.8307283,10682.6868,4210.659447,5661.403474,807.9362884,0,0,0,0,0,0,9710,2014
890,1620,2418,4660,257,125,204.5896538,844.4185142,14110.39698,7341.587902,5899.05482,834.4045369,0,0,0,0,0,0,20714,2014
1244,4577,5029,1393,8549,159,192.4686193,814.9697815,13065.33375,6804.707179,5782.115869,105.2424433,0,0,0,0,0,0,8785,2014
2166,1770,3249,4429,498,822,206.2997577,721.7030114,10568.12741,5311.281878,4423.248035,819.9556202,0,0,0,0,0,0,16014,2014
4097,7894,10936,17107,3722,1288,193.0235425,745.8400099,11340.58772,4837.744639,5242.594568,1227.07375,0,0,0,0,0,0,13215,2014
2325,2745,4766,9082,79,34,165.1025374,754.6054918,9944.600538,4570.364036,4323.540191,1019.545566,0,0,0,0,0,0,9842,2014
4597,8583,13079,29944,86,37,147.5229861,821.3256484,9024.145547,3960.526424,3834.224116,1217.506958,0,0,0,0,0,0,9078,2014
1174,1079,1761,2380,49,64,213.2352941,772.0588235,10945.80894,4869.886431,5261.052383,794.3568987,0,0,0,0,0,0,11797,2014
2255,2025,3336,3132,165,1833,257.7471717,772.7496311,16500.99548,8985.677892,5275.416925,1936.760078,0,0,0,0,0,0,20811,2014
3788,2919,6036,10203,260,97,229.2921687,794.2394578,11261.74227,6411.641911,4207.386592,635.0060217,0,0,0,0,0,0,12467,2014
3594,2109,4376,4757,93,842,234.0600576,752.9823118,12804.93085,6311.133521,4622.406134,1793.881649,0,0,0,0,0,0,18075,2014
5459,7810,15360,29189,371,777,184.1535128,787.4754978,11282.2134,4201.49618,5714.775771,1328.513187,0,0,0,0,0,0,12231,2014
1294,1969,2601,3514,27,2660,235.2392791,752.0198881,12859.59971,6263.776352,5911.925649,599.620305,0,0,0,0,0,0,20504,2014
1702,3745,5727,11595,223,251,157.0219966,731.3028765,9756.579751,4325.108779,4576.614329,845.5244841,0,0,0,0,0,0,10129,2014
2395,3364,6135,12744,78,267,125.0799744,736.084453,8223.804552,3225.486212,3992.323129,979.5887748,0,0,0,0,0,0,9526,2014
8979,13083,20676,45036,119,44,175.8530184,817.4659986,8850.663316,4291.006988,3486.972936,1059.201498,0,0,0,0,0,0,8852,2014
1318,3910,5546,11347,46,193,164.9026972,804.3700922,11934.48307,4705.72609,6118.828078,1052.716939,0,0,0,0,0,0,9460,2014
5550,6410,11345,23280,117,174,166.5214866,778.7456446,7847.705881,3326.669693,3398.788088,795.7274953,0,0,0,0,0,0,8724,2014
9029,8210,15005,31454,215,980,165.5585973,830.0091253,9607.600336,4320.363243,4087.986137,1193.148707,0,0,0,0,0,0,8773,2014
718,2634,3346,7479,44,23,163.9488762,789.7752314,13152.90741,4518.532106,6687.096043,740.5073535,0,0,0,0,0,0,10595,2014
4607,8071,12523,27725,134,343,129.0169384,734.8424885,8316.497414,2950.403258,3414.377964,1603.708368,0,0,0,0,0,0,8926,2014
3732,6149,10109,18280,1405,794,222.5010456,816.8130489,11982.58265,4482.859455,7272.318197,220.1655145,0,0,0,0,0,0,13582,2014
7280,8073,14602,30978,281,41,172.0562824,794.4951864,7836.251024,3041.668122,3438.825221,1342.827585,0,0,0,0,0,0,8650,2014
4171,3965,6603,13488,444,70,170.0943625,808.3716429,8253.54347,4077.042453,3060.523502,1104.803945,0,0,0,0,0,0,9827,2014
882,2214,2966,6559,27,152,198.3648881,822.7194492,13022.5539,5936.205694,6023.772072,957.5532506,0,0,0,0,0,0,11992,2014
5278,11939,17885,38186,241,159,150.747635,822.5002543,10870.63944,3867.508307,6246.354998,752.0731794,0,0,0,0,0,0,10942,2014
3390,4005,6676,9167,161,80,152.9411765,688.9894419,8822.98161,3281.181899,5057.919134,476.7314858,0,0,0,0,0,0,8731,2014
1279,2316,3416,6270,16,6,129.4783155,736.6436204,9783.215103,4678.667321,4450.118579,587.7325867,0,0,0,0,0,0,7654,2014
3368,3198,5911,11132,60,93,180.5278332,789.3102684,9353.783073,3627.340245,4711.511682,1011.681882,0,0,0,0,0,0,10987,2014
3295,2579,4973,10880,16,4,202.8061225,747.7678571,9343.283351,3766.877924,3525.036653,1994.864674,0,0,0,0,0,0,8854,2014
5685,10433,16610,34529,263,146,175.9602036,810.0416474,9550.835393,3176.888045,4829.457968,1540.749765,0,0,0,0,0,0,10105,2014
7585,9698,16046,35300,121,63,147.0410263,631.4897737,7899.319258,2499.559019,2859.65464,814.6485987,0,0,0,0,0,0,8038,2014
877,1470,2336,4485,25,34,220.0983069,784.2708902,12523.89358,6364.257607,5101.744045,1003.675935,0,0,0,0,0,0,11566,2014
1196,2362,3322,7783,20,72,160,822.5,8387.146629,4575.568292,3040.247279,707.9657415,0,0,0,0,0,0,8929,2014
3124,6413,9015,17332,229,364,188.9850511,819.6695515,10171.14738,3516.466635,4484.925588,2160.24964,0,0,0,0,0,0,11752,2014
11797,13857,24368,53308,136,57,157.7519041,787.8840935,8140.997313,2463.27733,3001.962894,1150.808659,0,0,0,0,0,0,8815,2014
5056,11425,17269,37801,781,356,205.3007416,840.771766,11407.42002,4940.333861,5217.777981,1244.226142,0,0,0,0,0,0,13730,2014
2115,4781,6418,10857,1263,645,177.0748851,806.1638281,11073.99257,4596.299845,5936.947846,536.0064863,0,0,0,0,0,0,10668,2014
1336,2931,4421,7570,994,295,197.3922492,806.229627,10422.17735,5402.413623,4588.936766,424.1489514,0,0,0,0,0,0,10417,2014
1108,1525,2566,5323,34,4,168.7578419,799.2471769,9092.464549,3322.92277,4128.383921,1603.363413,0,0,0,0,0,0,9046,2014
1952,3272,5648,9265,531,382,226.6901232,775.3204323,11694.30925,2662.835066,8505.279827,521.2797182,0,0,0,0,0,0,16308,2014
2643,4256,6405,13071,150,149,166.185933,803.416907,10403.12908,4066.872166,5452.335163,879.3711503,0,0,0,0,0,0,10683,2014
2010,3846,7006,14229,144,242,153.4682081,799.132948,10812.15808,4698.520723,5151.363298,929.5811633,0,0,0,0,0,0,9933,2014
3954,4650,8144,18312,63,56,173.5602612,836.7306551,9569.488095,3490.5982,4839.769882,1234.538966,0,0,0,0,0,0,10022,2014
2309,6417,8549,19742,47,33,159.9555061,853.1701891,9953.639657,4127.060448,4757.354807,1052.603558,0,0,0,0,0,0,10056,2014
1089,3827,4337,1499,7270,388,201.5400067,759.9598259,13506.28697,7755.514574,5496.036213,247.3594712,0,0,0,0,0,0,13743,2014
1050,2696,3480,5483,1325,543,181.9281969,817.2650262,12400.65986,5323.323422,6797.585768,274.06083,0,0,0,0,0,0,12718,2014
6055,5139,10248,16560,128,146,202.9485571,710.9473024,8765.714369,2487.912024,5011.446425,1250.480257,0,0,0,0,0,0,10492,2014
1595,3459,5501,10679,153,156,161.7986165,817.0637971,10707.76595,4077.591919,6013.549513,610.7016808,0,0,0,0,0,0,7873,2014
3444,2643,5734,9447,624,611,184.9770056,781.297905,11767.97377,5294.490664,5528.955855,931.112978,0,0,0,0,0,0,11572,2014
2555,5795,8138,18268,179,163,178.500595,819.5160651,11123.39926,4251.660229,6047.819731,689.5404521,0,0,0,0,0,0,11134,2014
1388,3462,4716,10890,28,86,132.3368575,860.3718556,8584.636009,4767.66027,2570.074809,742.7598481,0,0,0,0,0,0,9763,2014
1453,1399,2735,4588,516,226,160.0537996,747.1418964,9981.701286,4747.774481,4253.544346,967.8536103,0,0,0,0,0,0,10676,2014
782,2536,3289,7673,39,31,156.5934066,826.3736264,13328.69834,4561.478048,6861.722673,1890.820137,0,0,0,0,0,0,10378,2014
1316,2122,3139,7543,14,18,139.5894428,814.6627566,8391.315965,2238.476954,3093.921176,1013.894456,0,0,0,0,0,0,8510,2014
1062,1920,3012,6084,50,44,189.039932,816.9073917,12805.98103,1128.405825,5605.268485,822.8229039,0,0,0,0,0,0,12703,2014
712,2288,2836,6194,35,85,188.8288288,835.3153153,16504.98646,6778.965743,8524.803943,1178.575554,0,0,0,0,0,0,16249,2014
2247,6030,9946,21040,295,301,134.2580476,793.7712641,9055.839094,3669.820353,5007.606541,228.9199316,0,0,0,0,0,0,9678,2014
2570,3826,6301,13215,72,77,186.3560732,831.9467554,10814.44264,4562.381529,5187.978167,1056.340923,0,0,0,0,0,0,11988,2014
5729,6594,12037,26737,259,84,154.1366289,763.130793,6957.707753,2704.533121,2902.861691,1345.754495,0,0,0,0,0,0,8242,2014
549,1854,2440,4796,142,71,187.9804333,771.4884696,11688.14667,4359.23035,6264.29479,1058.268288,0,0,0,0,0,0,11977,2014
1279,1164,2378,4299,10,404,130.8176101,757.2327044,8003.765592,2082.641294,2331.372088,686.6825808,0,0,0,0,0,0,6371,2014
2313,2957,4732,8251,77,54,184.1237636,778.8485924,11668.95701,5865.030481,5301.337044,490.9190104,0,0,0,0,0,0,10661,2014
5214,1428,4617,5581,31,108,170.8349365,708.7341285,8183.923107,385.2318214,3043.503967,527.4166873,0,0,0,0,0,0,8650,2014
2389,2536,4074,8365,29,20,158.6466165,768.7969925,10041.61242,3802.476472,4314.723385,816.6589477,0,0,0,0,0,0,9698,2014
1219,1798,2827,6440,12,12,156.8402977,803.0910132,9617.075742,4281.433519,3993.976811,1334.437585,0,0,0,0,0,0,9841,2014
2416,958,2094,495,43,66,179.7274276,594.548552,6356.763625,2652.992694,2595.453102,545.9908336,0,0,0,0,0,0,7611,2014
1322,2871,4244,8113,65,13,191.7849592,828.7526427,11692.507,4934.086434,5067.157218,1648.150067,0,0,0,0,0,0,14302,2014
1393,1861,3234,6543,27,103,150.1954216,758.7939699,10687.51592,3453.131634,6336.928172,710.9773998,0,0,0,0,0,0,9022,2014
379,1276,1889,3672,13,194,162.3529412,784.7058824,9881.677441,4410.173528,4520.925485,920.2109561,0,0,0,0,0,0,9015,2014
1654,2014,3355,7140,84,7,190.3624054,806.0533652,10276.7675,5986.979732,3279.024348,994.8786945,0,0,0,0,0,0,11889,2014
3580,11249,16662,34548,100,326,163.5715164,810.601402,11535.61963,4781.976915,6026.634616,704.6412215,0,0,0,0,0,0,9488,2014
1034,1495,2435,3756,606,195,187.6675603,764.075067,12811.65024,5454.035175,6884.807285,458.0266933,0,0,0,0,0,0,18305,2014
1801,3520,5513,12077,16,38,134.0860974,774.1707834,7626.632582,2720.259989,3107.306759,1767.410238,0,0,0,0,0,0,8625,2014
2134,3576,5817,11911,97,84,162.2171371,792.0162726,8892.318323,4721.563208,3569.196514,584.4370225,0,0,0,0,0,0,9768,2014
1713,2886,4076,8026,78,751,152.1818849,730.8397506,10685.15337,4971.323401,4732.795793,675.4075373,0,0,0,0,0,0,11011,2014
4341,2834,5456,3916,768,2118,223.4780375,391.2150013,7778.900707,3310.906342,4204.970469,251.2374478,0,0,0,0,0,0,8542,2014
12204,17904,28629,56314,423,202,157.2201829,784.1099981,9817.752906,4076.905395,4899.621276,828.6548716,0,0,0,0,0,0,9283,2014
5205,8720,14418,27776,1624,167,138.0519688,738.7215049,7749.168127,3168.556664,3399.641002,1172.093615,0,0,0,0,0,0,8022,2014
938,2478,3250,1179,4820,336,179.3741736,776.5535478,12351.68943,6603.600662,5356.677213,387.4933853,0,0,0,0,0,0,14530,2014
930,2536,3537,7270,47,53,199.577167,812.6849894,12806.4568,5757.612785,6006.88125,990.3855429,0,0,0,0,0,0,11414,2014
1453,2696,4071,9326,37,11,115.6282999,814.6779303,9163.583825,2806.877977,4499.545155,1583.076182,0,0,0,0,0,0,8909,2014
4919,5634,9749,22468,30,9,173.0941704,762.3318386,9326.691283,3924.006394,3297.338584,1753.337482,0,0,0,0,0,0,7368,2014
3297,5903,8524,16867,89,41,179.379715,739.815591,10052.20116,4785.855487,4645.886821,592.3076292,0,0,0,0,0,0,10280,2014
2912,3904,6211,14239,33,7,175.6649987,795.3647617,9353.786684,3455.676969,4773.020207,841.5990872,0,0,0,0,0,0,9990,2014
