Features,Importance Correlation ,,,,Features,Importance Random forest,,,Most important,,,12384.2,12434,34601,428505704.2,430228834,,,,,,,,,,,,,,,,,,
aco18,0.036236597,0.036236597,,,n_pa,0.001280591,,,,,,9473.6,9464,9329,88379214.4,88289656,,,,,,,,,,,,,,,,,,
n_cns,-0.035514414,0.035514414,,,aco13,0.001248501,,,,,,10052.2,9838,5713,57428218.6,56204494,,,,,,,,,,,,,,,,,,
n_spec,-0.035331119,0.035331119,,,aco6,0.001026521,,,,,,10370.2,10253,15474,160468474.8,158654922,,,,,,,,,,,,,,,,,,
aco44,0.031826963,0.031826963,,,aco18,0.001009069,,,,,,9627.2,9674,13423,129225905.6,129854102,,,,,,,,,,,,,,,,,,
n_pcp,-0.030772612,0.030772612,,,n_cah,0.000967632,,,,,,10304.7,10797,22479,231639351.3,242705763,,,,,,,,,,,,,,,,,,
aco12,-0.029386624,0.029386624,,,dm_comp,0.000932454,,,,,,10628.9,10802,40911,434838927.9,441920622,,,,,,,,,,,,,,,,,,
n_cah,-0.029115997,0.029115997,,,aco14,0.000865808,,,,,,9063,8759,6816,61773408,59701344,,,,,,,,,,,,,,,,,,
aco13,0.02651666,0.02651666,,,aco28,0.000849697,,,,,,9032.6,7954,16895,152605777,134382830,,,,,,,,,,,,,,,,,,
aco5,0.024356852,0.024356852,,,n_fqhc,0.000718689,,,,,,9165.3,8773,35751,327668640.3,313643523,,,,,,,,,,,,,,,,,,
n_np,-0.020645019,0.020645019,,,aco8,0.000670924,,,,,,9752.1,10192,18427,179701946.7,187807984,,,,,,,,,,,,,,,,,,
aco42,0.019714786,0.019714786,,,qualperfshare,0.000646288,,,,,,10029.1,10954,14020,140607982,153575080,,,,,,,,,,,,,,,,,,
n_ben_race_other,0.018699474,0.018699474,,,aco44,0.00064189,,,,,,8673.5,8509,18254,158326069,155323286,,,,,,,,,,,,,,,,,,
aco30,0.018657632,0.018657632,,,aco43,0.000498587,,,,,,9633.2,9889,15581,150094889.2,154080509,,,,,,,,,,,,,,,,,,
qualperfshare,-0.018538624,0.018538624,,,n_cns,0.000441546,,,,,,9036.5,8444,12273,110904964.5,103633212,,,,,,,,,,,,,,,,,,
aco28,0.01786825,0.01786825,,,py,0.000419616,,,,,,10770.2,10483,10910,117502882,114369530,,,,,,,,,,,,,,,,,,
qualscore,-0.012255373,0.012255373,,,n_eta,0.000384839,,,,,,8538.8,8284,40622,346863133.6,336512648,,,,,,,,,,,,,,,,,,
n_pa,0.010484164,0.010484164,,,aim,8.74E-05,,,,,,11686.4,11939,6067,70901388.8,72433913,,,,,,,,,,,,,,,,,,
n_ben_age_85plus,0.009155928,0.009155928,,,met_qps,0,,,,,,11867.7,11840,14606,173339626.2,172935040,,,,,,,,,,,,,,,,,,
aim,-0.005744231,0.005744231,,,,,,,,,,10857.2,11497,8130,88269036,93470610,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8792,8546,11857,104246744,101329922,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9265.4,9518,64739,599832730.6,616185802,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9790.5,9643,5059,49530139.5,48783937,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11876.9,11624,33825,401736142.5,393181800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9242.7,9165,28825,266420827.5,264181125,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9715.9,10046,18751,182182840.9,188372546,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9905.3,9992,5571,55182426.3,55665432,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10478.4,10195,12692,132991852.8,129394940,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10405,10553,41179,428467495,434561987,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8556.4,8614,51284,438806417.6,441760376,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9585.1,9128,3857,36969730.7,35206696,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8623.3,8705,18767,161833471.1,163366735,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8462.8,8308,19126,161859512.8,158898808,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12007.6,12037,6683,80246790.8,80443271,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9184.5,9181,20190,185435055,185364390,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11187,11223,15022,168051114,168591906,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8442.1,8496,16852,142266269.2,143174592,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11423.9,11738,12646,144466639.4,148438748,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8966,8654,10833,97128678,93748782,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8081.8,7713,7783,62900649.4,60030279,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15744,15345,17612,277283328,270256140,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9979.9,9965,46100,460073390,459386500,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10847.6,11708,11810,128110156,138271480,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12689.3,13657,8830,112046519,120591310,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8455.8,7999,7639,64593856.2,61104361,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8527.1,8070,6625,56492037.5,53463750,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8370.7,7532,12729,106550640.3,95874828,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8462.4,8475,14954,126546729.6,126735150,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8955.7,8742,49413,442528004.1,431968446,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8991.8,9012,80792,726465505.6,728097504,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9235.1,9066,122032,1126977723,1106342112,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10483.7,10512,4530,47491161,47619360,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12123.2,12071,39031,473180619.2,471143201,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15538.9,15065,27791,431841569.9,418671415,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9554.5,9400,8233,78662198.5,77390200,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10330.6,10598,8279,85527037.4,87740842,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12133.1,12203,7571,91859700.1,92388913,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11864.3,11628,7059,83750093.7,82082052,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8781.6,8614,11131,97747989.6,95882434,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11692.6,12061,11499,134453207.4,138689439,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11971.8,13045,4630,55429434,60398350,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9951.9,9710,12997,129344844.3,126200870,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19655.9,20714,5592,109915792.8,115832688,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10696.3,8785,12997,139019811.1,114178645,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14652.7,16014,7917,116005425.9,126782838,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12705.5,13215,26237,333354203.5,346721955,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9794,9842,11275,110427350,110968550,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8939.6,9078,31390,280614044,284958420,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12299.9,11797,4402,54144159.8,51930394,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20916.6,20811,8165,170784039,169921815,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12660.7,12467,12879,163057155.3,160562493,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17531.2,18075,9990,175136688,180569250,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12317.9,12231,32923,405542221.7,402681213,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20320.4,20504,6970,141633188,142912880,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9424.6,10129,13300,125347180,134715700,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9336.1,9526,13743,128306022.3,130915818,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8688.4,8852,49057,426226838.8,434252564,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9755.5,9460,12209,119104899.5,115497140,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8870.3,8724,25954,230219766.2,226422696,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9297.1,8773,35631,331264970.1,312590763,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10563.6,10595,7897,83420749.2,83668715,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8787.2,8926,28877,253747974.4,257756102,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13443.3,13582,24254,326053798.2,329417828,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8884.6,8650,32096,285160121.6,277630400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9495.6,9827,15021,142633407.6,147611367,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12585.1,11992,7281,91632113.1,87313752,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10757.1,10942,41202,443214034.2,450832284,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8887.2,8731,16426,145981147.2,143415406,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8714.5,7654,8227,71694191.5,62969458,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10848.9,10987,13415,145537993.5,147390605,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9411.6,8854,11130,104751108,98545020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10197.3,10105,36198,369121865.4,365780790,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8279.1,8038,36301,300539609.1,291787438,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12160.6,11566,5328,64791676.8,61623648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9140.6,8929,8037,73463002.2,71762373,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11522.2,11752,21549,248291887.8,253243848,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9042.9,8815,55058,497883988.2,485336270,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13564.3,13730,41818,567231897.4,574161140,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10670.3,10668,16236,173242990.8,173205648,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11679.7,10417,10807,126222517.9,112576519,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9321.7,9046,5921,55193785.7,53561366,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15779,16308,12644,199509676,206198352,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10908.8,10683,15837,172762665.6,169186671,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10174.1,9933,15697,159702847.7,155918301,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9673.7,10022,19327,186963599.9,193695194,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9854.1,10056,20534,202344089.4,206489904,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15333,13743,10771,165151743,148025853,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12461,12718,8709,108522849,110761062,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10874.6,10492,23744,258206502.4,249122048,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8364.1,7873,12622,105571670.2,99373006,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11665.6,11572,12703,148188116.8,146999116,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11208,11134,20014,224316912,222835876,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9833.7,9763,11175,109891597.5,109101525,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10441.9,10676,6274,65512480.6,66981224,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10594.8,10378,7990,84652452,82920220,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8455.8,8510,7727,65337966.6,65756770,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12372.9,12703,6456,79879442.4,82010568,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14772.1,16249,6728,99386688.8,109323272,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9414.3,9678,22722,213911724.6,219903516,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11649.6,11988,15121,176153601.6,181270548,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8146.3,8242,28598,232967887.4,235704716,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11874.7,11977,5630,66854561,67430510,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7081.4,6371,5075,35938105,32332825,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10588.4,10661,10914,115561797.6,116354154,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8829.9,8650,10876,96033992.4,94077400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9712.3,9698,9811,95287375.3,95147078,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9700.7,9841,6860,66546802,67509260,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8427.4,7611,5710,48120454,43458810,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12549,14302,10001,125502549,143034302,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9509.5,9022,7070,67232165,63785540,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9128.9,9015,4012,36625146.8,36168180,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11306.8,11889,8020,90680536,95349780,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9846,9488,36355,357951330,344936240,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15813.5,18305,5512,87164012,100897160,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8743.8,8625,12635,110477913,108976875,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9403.2,9768,13419,126181540.8,131076792,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10923.1,11011,9827,107341303.7,108205097,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8542,8542,13294,113557348,113557348,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9531.2,9283,68429,652210484.8,635226407,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8119.3,8022,32410,263146513,259993020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14069.4,14530,7629,107335452.6,110849370,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11907,11414,7981,95029767,91095134,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9106.4,8909,9623,87630887.2,85731307,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8023.2,7368,22975,184333020,169279800,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10271.6,10280,20996,215662513.6,215838880,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9974.7,9990,14790,147525813,147752100,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9465.5,9083,5800,54899900,52681400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8951.7,8812,11356,101655505.2,100069072,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11200.5,11021,4544,50895072,50079424,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15678.7,16462,8906,139634502.2,146610572,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10857.4,10932,21207,230252881.8,231834924,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9267.1,9344,6245,57873039.5,58353280,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10094.1,9359,5131,51792827.1,48021029,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7065.9,4692,6895,48719380.5,32351340,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13733.1,11564,4719,64806498.9,54570516,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11676.6,11183,43355,506238993,484838965,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8662.6,8915,5559,48155393.4,49558485,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10683.8,11789,8973,95865737.4,105782697,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8510.8,8398,27315,232472502,229391370,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9886.5,9877,14385,142217302.5,142080645,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12584.9,13957,10880,136923712,151852160,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8917.2,9073,7645,68171994,69363085,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5492.9,4972,6923,38027346.7,34421156,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10903.3,10602,33204,362033173.2,352028808,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10177.5,10384,9672,98436780,100434048,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8769.4,8914,17203,150859988.2,153347542,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12025.9,12090,5837,70195178.3,70569330,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11393.6,11621,7121,81133825.6,82753141,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8548.8,8946,7775,66466920,69555150,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9429.2,9160,5668,53444705.6,51918880,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16742.5,16757,11611,194397167.5,194565527,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9280.9,9235,19219,178369617.1,177487465,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10373.2,11303,13455,139571406,152081865,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11855.5,11814,33310,394906705,393524340,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8916.8,8267,15350,136872880,126898450,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13830,13588,6245,86368350,84857060,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8389.5,8356,18722,157068219,156441032,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9945,9945,9375,93234375,93234375,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16276.8,15572,6712,109249881.6,104519264,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9283.2,9271,4634,43018348.8,42961814,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10308.5,10027,8088,83375148,81098376,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8141.8,7808,13805,112397549,107789440,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8187.4,8014,18709,153178066.6,149933926,,,,,,,,,,,,,,,,,,
